,PCA,Modelo,Repeticao,Accuracy,Precision,Recall,F1,ROC_AUC
0,-1,LR,1,0.731479911849466,0.7324782902913584,0.731479911849466,0.7198481439350695,0.9441224261659948
1,-1,LR,2,0.7367350398372605,0.7370925401174885,0.7367350398372605,0.7247760994637424,0.9471667317898267
2,-1,LR,3,0.7377521613832853,0.7416659542188071,0.7377521613832853,0.7285435550466315,0.9460676028234238
3,-1,LR,4,0.727411425665367,0.7270082665887324,0.727411425665367,0.7169195292423473,0.9450640538590179
4,-1,LR,5,0.7360569588065774,0.7355518299737042,0.7360569588065774,0.7247808111829411,0.9462198505579108
5,-1,XGB,1,0.895914561790134,0.9007063659429577,0.895914561790134,0.8971863234532994,0.9891872191049844
6,-1,XGB,2,0.895914561790134,0.8998586671621499,0.895914561790134,0.8969876414534964,0.9884839621860737
7,-1,XGB,3,0.8925241566367181,0.8972448801555751,0.8925241566367181,0.8936000917806107,0.9878234967453935
8,-1,XGB,4,0.8940498389557552,0.898311160287841,0.8940498389557552,0.8952802705663154,0.9890520077764988
9,-1,XGB,5,0.8950669605017799,0.899160474297,0.8950669605017799,0.8962896971843404,0.9890603612143039
10,1,LR,1,0.6950330564502458,0.6979963117172885,0.6950330564502458,0.6827159438887689,0.9360251163576133
11,1,LR,2,0.7045261908798102,0.7049030286087619,0.7045261908798102,0.6987812718815234,0.9384612072884196
12,1,LR,3,0.7002881844380403,0.7004620896607756,0.7002881844380403,0.6866501663245512,0.9387405828575157
13,1,LR,4,0.699779623665028,0.7032036545704089,0.699779623665028,0.6938533144504119,0.937698657704123
14,1,LR,5,0.7033395490761146,0.7064151738964038,0.7033395490761146,0.6907646718197319,0.9393858441835904
15,1,XGB,1,0.8553992202068147,0.8613210113086194,0.8553992202068147,0.8576043622330067,0.9819578079803466
16,1,XGB,2,0.8664180369554162,0.8703187254467193,0.8664180369554162,0.8678215810352723,0.9825463093413155
17,1,XGB,3,0.8608238684522801,0.8654714398950345,0.8608238684522801,0.862283006286933,0.9823704461448464
18,1,XGB,4,0.8650618748940498,0.8699186740154375,0.8650618748940498,0.8667491620562109,0.9830130328575999
19,1,XGB,5,0.8659094761824038,0.870129661558605,0.8659094761824038,0.8674719072669753,0.9821427216240124
