,PCA,Modelo,Repeticao,Accuracy,Precision,Recall,F1,ROC_AUC
0,-1,LR,1,0.731479911849466,0.7324782902913584,0.731479911849466,0.7198481439350695,0.9441224261659948
1,-1,LR,2,0.7367350398372605,0.7370925401174885,0.7367350398372605,0.7247760994637424,0.9471667317898267
2,-1,LR,3,0.7377521613832853,0.7416659542188071,0.7377521613832853,0.7285435550466315,0.9460676028234238
3,-1,LR,4,0.727411425665367,0.7270082665887324,0.727411425665367,0.7169195292423473,0.9450640538590179
4,-1,LR,5,0.7360569588065774,0.7355518299737042,0.7360569588065774,0.7247808111829411,0.9462198505579108
5,-1,XGB,1,0.895914561790134,0.9007063659429577,0.895914561790134,0.8971863234532994,0.9891872191049844
6,-1,XGB,2,0.895914561790134,0.8998586671621499,0.895914561790134,0.8969876414534964,0.9884839621860737
7,-1,XGB,3,0.8925241566367181,0.8972448801555751,0.8925241566367181,0.8936000917806107,0.9878234967453935
8,-1,XGB,4,0.8940498389557552,0.898311160287841,0.8940498389557552,0.8952802705663154,0.9890520077764988
9,-1,XGB,5,0.8950669605017799,0.899160474297,0.8950669605017799,0.8962896971843404,0.9890603612143039
10,1,LR,1,0.7123241227326665,0.7108137807681908,0.7123241227326665,0.6982569886996992,0.9400445415354046
11,1,LR,2,0.716053568401424,0.712242149944084,0.716053568401424,0.7065760950851502,0.9423764458412222
12,1,LR,3,0.7189354127818274,0.720140687909272,0.7189354127818274,0.7075617281461118,0.9418608514241323
13,1,LR,4,0.7123241227326665,0.711100655942899,0.7123241227326665,0.7030547136007189,0.9420003297380174
14,1,LR,5,0.7170706899474487,0.7133256814663037,0.7170706899474487,0.7053950815074929,0.9429527953383448
15,1,XGB,1,0.8692998813358196,0.8744617745292913,0.8692998813358196,0.8710822841098524,0.9840904318393822
16,1,XGB,2,0.8748940498389558,0.8776776635694872,0.8748940498389558,0.8758492434946141,0.9841029684647068
17,1,XGB,3,0.8725207662315647,0.8763124186152198,0.8725207662315647,0.8735261232085356,0.9840027848367338
18,1,XGB,4,0.8684522800474657,0.8734462247827,0.8684522800474657,0.870048354687724,0.9843051122522776
19,1,XGB,5,0.873876928292931,0.8778864452473575,0.873876928292931,0.8751967819617444,0.9841798206825352
  
