PCA,Modelo,Repeticao,Accuracy,Precision,Recall,F1,ROC_AUC
-1,-1,1,0.731479911849466,0.7232319912482599,0.70741403058209,0.7018957014355577,0.9429539370550498
-1,-1,2,0.7367350398372605,0.7299166213257149,0.7162731294273808,0.7096968531687092,0.9468575790717215
-1,-1,3,0.7377521613832853,0.7328797392467388,0.7156458249740199,0.711967512361193,0.945144226766951
-1,-1,4,0.727411425665367,0.7197808750973057,0.7059616846279221,0.7014842282509951,0.9438988079929375
-1,-1,5,0.7360569588065774,0.7270102487243894,0.7109785049713959,0.7066195080977344,0.9445505649719836
-1,1,1,0.895914561790134,0.8981266019230164,0.8970819100847693,0.8964242544776048,0.9894286868342306
-1,1,2,0.895914561790134,0.8990224150810998,0.8990026536598091,0.8980860578571559,0.9888427593120831
-1,1,3,0.8925241566367181,0.8950596932063933,0.8957302413400472,0.8940722550814212,0.9881675383584309
-1,1,4,0.8940498389557552,0.8965868248288829,0.8959888391259415,0.8953341852454159,0.9894817725101354
-1,1,5,0.8950669605017799,0.897285287498515,0.893462560812326,0.8944629980866148,0.9892195086622506
1,-1,1,0.7123241227326665,0.7010983756026733,0.68286776415272,0.6767580333125706,0.9377767620986489
1,-1,2,0.716053568401424,0.707518562289785,0.6948560602005941,0.6926048438992095,0.9407429788136961
1,-1,3,0.7189354127818274,0.71186378103849,0.6936471233790503,0.6893101874618782,0.9388584906407145
1,-1,4,0.7123241227326665,0.7035114524737921,0.6879806011411891,0.6859108866945469,0.9401289384163208
1,-1,5,0.7170706899474487,0.7048486570287045,0.6901953061657117,0.6863079408924164,0.9402517881331421
1,1,1,0.8692998813358196,0.8703971326032797,0.8676015565123948,0.8681447567023236,0.984429167225217
1,1,2,0.8748940498389558,0.8741778442093587,0.8741279196249376,0.8736912822185638,0.9845752178570296
1,1,3,0.8725207662315647,0.8710947531056356,0.8733064550789257,0.8712700058894433,0.9844248783370196
1,1,4,0.8684522800474657,0.8706818544380851,0.8668554347430015,0.8677767286108848,0.9847340457890226
1,1,5,0.873876928292931,0.8764885252804573,0.8697249094224755,0.8722602530301141,0.9843968963273111
